Designator,Footprint,Quantity,Value,LCSC Part #
B1,BAT,1,battery_3.7v,
"C1, C8",0805,2,10uF,
"C10, C11, C12, C4, C9",0603,5,1uF,
"C13, C15, C2, C5, C6, C7",0603,6,100nF,
"C14, C3",0603,2,2.2uF,
D1,0603,1,RLED,
"D2, D4",D_SOD-523,2,LESD5D5.0CT1G,
D5,D_SOD-323_HandSoldering,1,BAT760,
DS1,ST7789-320x240,1,ST7789,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,micro_sd,1,Micro_SD_Card,
Q1,SOT-23,1,NPN_S9013,
Q2,SOT-723,1,CJ3139K,
"R1, R10, R13, R14, R18, R19, R2, R21, R5, R6, R8, R9",0603,12,10K,
R11,0603,1,4K7,
"R15, R16",0603,2,5K1,
R3,0603,1,10R,
"R4, R7",0603,2,1K,
S1,BAT,1,Speaker,
SW1,Membrane Button Hema Console,1,LEFT,
SW10,Membrane Button Hema Console,1,A,
SW2,Membrane Button Hema Console,1,START,
SW3,Membrane Button Hema Console,1,B,
SW4,Membrane Button Hema Console,1,DOWN,
SW5,Membrane Button Hema Console,1,UP,
SW6,Membrane Button Hema Console,1,RIGHT,
SW7,Membrane Button Hema Console,1,ON/OFF,
SW8,Membrane Button Hema Console,1,MENU,
U2,SOT-353_SC-70-5,1,74LVC1G17,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U4,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,1,NS4168,
U5,SOT-23-5,1,AP2112K-3.3,
U6,SOT-23-5,1,TP4054,
U7,SOT-353_SC-70-5,1,SN74LVC1G80DCKR,
